Image,Adaptive,KMeans,Canny,Marr_Hildreth,Manual
IMD002.bmp,0.0175,0.8178,0.0291,0.4312,0.8158
IMD003.bmp,0.0402,0.457,0.1943,0.204,0.5825
IMD004.bmp,0.0675,0.7914,0.4538,0.3296,0.7845
IMD015.bmp,0.0033,0.8327,0.0258,0.3759,0.8188
IMD017.bmp,0.019,0.8649,0.2218,0.6531,0.8523
IMD018.bmp,0.044,0.6283,0.3912,0.1665,0.6251
IMD019.bmp,0.0418,0.6405,0.2932,0.1781,0.6311
IMD020.bmp,0.0665,0.6631,0.3198,0.2117,0.6552
IMD021.bmp,0.0141,0.7542,0.4432,0.2369,0.754
IMD022.bmp,0.0166,0.6963,0.4985,0.43,0.7212
IMD024.bmp,0.0072,0.5342,0.0,0.1557,0.5146
IMD025.bmp,0.0,0.6812,0.0074,0.2986,0.6973
IMD033.bmp,0.0126,0.8565,0.1749,0.4547,0.8737
IMD038.bmp,0.0209,0.7038,0.0339,0.191,0.6945
IMD039.bmp,0.0233,0.5872,0.4069,0.1425,0.5843
IMD040.bmp,0.003,0.6101,0.0,0.1505,0.6306
IMD041.bmp,0.0239,0.8079,0.0137,0.3863,0.8087
IMD042.bmp,0.0191,0.8366,0.0431,0.4021,0.8336
IMD043.bmp,0.039,0.6697,0.2394,0.2943,0.676
IMD044.bmp,0.0412,0.8027,0.7887,0.6353,0.8294
IMD049.bmp,0.0217,0.6455,0.1357,0.2383,0.6985
IMD050.bmp,0.0032,0.7531,0.0,0.3273,0.7378
IMD063.bmp,0.0155,0.8483,0.3576,0.6516,0.8477
IMD075.bmp,0.0139,0.6924,0.2345,0.3792,0.7
IMD078.bmp,0.1166,0.7992,0.603,0.3352,0.7938
IMD091.bmp,0.001,0.884,0.0706,0.8004,0.9375
IMD092.bmp,0.0,0.2834,0.0311,0.0608,0.2955
IMD118.bmp,0.0111,0.6082,0.1146,0.2873,0.6277
IMD139.bmp,0.1212,0.5845,0.4665,0.1876,0.5841
IMD140.bmp,0.0571,0.6128,0.517,0.2042,0.6126
IMD144.bmp,0.0199,0.4249,0.4334,0.1111,0.432
IMD149.bmp,0.0998,0.8798,0.2302,0.5367,0.8729
IMD169.bmp,0.0423,0.7984,0.3595,0.3628,0.8086
IMD171.bmp,0.0553,0.6814,0.4416,0.2465,0.6958
IMD177.bmp,0.0034,0.5887,0.2464,0.2597,0.5799
IMD206.bmp,0.0713,0.602,0.2326,0.1728,0.6057
IMD211.bmp,0.0164,0.7643,0.4237,0.4551,0.7651
IMD243.bmp,0.0362,0.8226,0.2438,0.4822,0.8283
IMD328.bmp,0.0206,0.4773,0.0176,0.1053,0.4804
IMD331.bmp,0.2497,0.621,0.515,0.182,0.6155
IMD339.bmp,0.0097,0.5857,0.0889,0.2674,0.5906
IMD376.bmp,0.0413,0.6562,0.5239,0.2585,0.6428
IMD379.bmp,0.0014,0.6803,0.6568,0.3545,0.6823
IMD386.bmp,0.0919,0.6427,0.5275,0.2171,0.6315
IMD394.bmp,0.0456,0.7148,0.718,0.3681,0.6877
IMD395.bmp,0.0,0.8,0.3345,0.4849,0.8096
IMD396.bmp,0.0112,0.6417,0.544,0.3295,0.6359
IMD427.bmp,0.0048,0.8488,0.3265,0.4946,0.854
IMD429.bmp,0.0334,0.711,0.624,0.3057,0.7354
IMD432.bmp,0.0178,0.6139,0.6042,0.3438,0.6128
AVERAGE,0.0351,0.6901,0.304,0.3228,0.6957
